TID (unique),KEYWORD(unique),TAG(Separate with comma),CATEGORY, PID(Separate with comma if more than one),QUESTION,ANSWER,Documentation link ,YouTube solution link,RSID
GLOGIQ4123,MODD_ASSY_REMOVAL,Disassembly,Renewal Parts,LOGIQ 400,How to remove MODD assemble?,"1. Turn OFF the system.
2. Remove the Keyboard Panel Assy (FRU 400). Refer to 6–2–49 on page 6–147.
3. Disconnect the MODD Fan Power Cable.
4. Unscrew two screws ( 1 and 2 ).
5. Remove the MODD Fan Assy
6. Remove the HDDB Assy (FRU 525). Refer to 6–2–75 on page 6–195.
7. Unscrew four screws ( 3 – 6 ).
8. Remove the upper metal plate.
9. Disconnect the SCSI Cable and MODD Power Cable.
10. Remove the MODD Holder Assy.
11. Unscrew four screws ( 7 – 10 ).
12. Remove the MODD.",,,
GLOGIQ4124,HDD_ASSY,Disassembly,Renewal Parts,LOGIQ 400,How to remove HDD assemble?,"1. Make sure the customer data is saved on a MO disk. Refer to 4–3–3 (D), USER DATA BACK UP on page 4–22.
2. Turn OFF the system.
3. Remove the Keyboard Panel Assy (FRU 400). Refer to 6–2–49 on page 6–147.
4. Remove the HDDB Assy (FRU 522). Refer to 6–2–75 on page 6–195.
5. Unscrew two screws ( 1 and 2 ).
6. Remove the HDD Holder Assy.
7. Unscrew four screws ( 3 – 6 ).
8. Remove the HDD (FRU 523) out of the HDD Holder Assy (FRU 524).",,,
GLOGIQ4125,HDDB_ASSY,Disassembly,Renewal Parts,LOGIQ 400,How to remove HDDB Assemble?,"1. Turn OFF the system.
2. Remove the Keyboard Panel Assy (FRU 400). Refer to 6–2–49 on page 6–147.
3. Disconnect three connectors ( 1 – 3 ).
4. Unscrew four screws ( 4 – 7 ).
5. Remove the HDDB Assy.",,,
GLOGIQ4126,HDD_LED_ASSY,Disassembly,Renewal Parts,LOGIQ 400,How to remove HDD LED assemble?,"1. Turn OFF the system.
2. Remove the Front Base Cover (FRU 305). Refer to 6–2–35 on page 6–131.
3. Remove the Front Cover (FRU 306). Refer to 6–2–36 on page 6–132.
4. Unscrew two screws ( 1 and 2 ).
5. Disconnect one connector ( 3 ).
6. Remove the HDD LED Assy.",,,
GLOGIQ4127,POWER_SWITCH_ASSY,Disassembly,Renewal Parts,LOGIQ 400,How to remove power switch assemble?,"1. Turn OFF the system.
2. Remove the Front Base Cover (FRU 305). Refer to 6–2–35 on page 6–131.
3. Remove the Front Cover (FRU 306). Refer to 6–2–36 on page 6–132.
4. Unscrew two screws ( 1 and 2 ).
5. Disconnect one connector ( 3 ).
6. Remove the Power Switch Assy.",,,
GLOGIQ4128,TIME_KEEPER_RAM,Disassembly,Renewal Parts,LOGIQ 400,How to remove Time Keeper Ram?,"1. Turn OFF the system.
2. Remove the Side Cover Left (FRU 301). Refer to 6–2–31 on page 6–127.
3. Unscrew five Nest Cover screws.
4. Remove the Nest Cover.
5. Remove the MPU Assy (FRU 612). Refer to 6–2–78 on page 6–198.
6. Remove the Time Keeper RAM mounted on the CPU Assy.",,,
GLOGIQ4129,HIGH_VOLTAGE_ASSY,Disassembly,Renewal Parts,LOGIQ 400,How to remove high voltage Assy?,"1. Turn OFF the system and unplug the main power cord.
2. Remove the Front Base Cover (FRU 305). Refer to 6–2–35 on page 6–131.
3. Remove the Side Cover Right (FRU 302). Refer to 6–2–32 on page 6–128.
4. Unscrew four screws ( 1 – 4 ).
5. Remove the PS Cover Right.
6. Unscrew two screws ( 5 and 6 ).
7. Disconnect five connectors ( 7 – 11 ).
8. Pull the High Voltage Assy out.
9. Disconnect the HV Fan Cable ( 12 ).
10. Remove the High Voltage Assy.",,,
GLOGIQ4130,HV_FAN_ASSY,Disassembly,Renewal Parts,LOGIQ 400,How to remove HV fan Assy?,"1. Turn OFF the system and unplug the main power cord.
2. Remove the High Voltage Assy (FRU 701). Refer to 6–2–85 on page 6–214.
3. Unscrew four screws ( 1 – 4 ).
4. Remove the HV Fan.",,,
GLOGIQ4131,LOW_VOLTAGE_UNIT_DISASSEMBLE,Disassembly,Renewal Parts,LOGIQ 400,How to remove Low voltage Assemble?,"1. Turn OFF the system and unplug the main power cord.
2. Remove the Side Cover Left (FRU 301). Refer to 6–2–31 on page 6–127.
3. Unscrew four screws ( 1 – 4 ).
4. Remove the Left PS Cover.
5. Unscrew two screws ( 5 and 6 ).
6. Pull the Low Voltage Unit outwards.
7. Unscrew fifteen screws ( 7 – 21 ) to remove wires.
8. Pull the Low Voltage Unit out.
9. Remove the Plastic Cover as shown in ILLUSTRATION 6–122 on page 6–219.
10. Disconnect one connector ( 22 ).
11. Unscrew two screws ( 23 and 24 ) to remove the FG wires.
12. Remove the Low Voltage Unit.",,,
GLOGIQ4132,TRIAC_UNIT,Disassembly,Renewal Parts,LOGIQ 400,How to remove TRIAC Assemble?,"1. Turn OFF the system and unplug the main power cord.
2. Remove the Side Cover left. Refer to 6–2–31 on page 6–127.
3. Remove the Left PS Cover. Refer to 6–2–95 on page 6–234.
4. Unscrew two screws ( 1 and 2 ).
5. Disconnect eleven (11) connectors ( 3 – 13 ) from the component side of the TRIAC Unit.
6. Pull the TRIAC Unit outwards.
7. Disconnect five connectors (14 – 18 ) from the NF2 located on the back side of the TRIAC Unit.
8. Disconnect two connectors (19 and 20 ) from the rear of fuse socket.
9. Remove the TRIAC Unit.",,,
GLOGIQ4133,VISUAL_INSPECTION,"Visual,Maintenance",Maitenance,LOGIQ 400,What are the Procedures for visual inspection?,"a. Check cables for cracks nicks and abrasions of their insulation.
b. Check that cables sheath are securely clamped in cable glands/connector clamps where applicable.
c. Check that cables are correctly routed and secured.
d. Check that all screws are in place and not missing.
e. Check that all detachable cable connectors are fully home in their sockets.
f. Check that all equipment covers and fixing are in place and undamaged.
g. Check that all plug–in boards are fully seated in cardcage connector.
h. Check operation of the cooling fans and that the airflow paths are clear. LOGIQ 400 has five Fans : three
for PC Boards, one for Power Supplies, one for MO drive.
i. Check that the keyboard keys, some volumes and Track Ball have correct function and no mechanical
damage.
j. Check that three Air Filters indicated in the ILLUSTRATION 7–2 are clean and undamaged.",,,
GOPXR646134,SYSTEM_START_UP,"Start,System",Power,OPTIMA XR646,How to Start the system?,"1. Press the Power On button on the RCIM [Radiology Control Interface Module].
2. Wait a few minutes until the entire system is powered.
 The system powers up automatically.
 If enabled, the Login screen appears on the monitor when the system is ready.  If Login is not enabled, the Worklist appears on the monitor when the system is ready..
3. Wait for the detector to boot. This takes approximately 30 seconds.
 A message in the system status area will appear: “Detector Boot is in progress. Please wait 29 seconds for the detector boot to complete.”
 The system is ready when the detector boot message disappears.",,,
GOPXR646135,SHUTDOWN,"Shutdown,System",Power,OPTIMA XR646,How to Shutdown the system?,"1. Close all current exams.
2. Click the [UTILITY] button at the top of the Worklist screen.
3. Select System on the Utilities screen.
4. Click [SHUTDOWN].
 A message appears: “The system will be shut down. NOTE: Please allow for the tube fan speed to 
slow (if running high) before shutting down system.”
5. Click [YES] to proceed with shut down.
 The system powers off and the monitors go blank.
 [CANCEL] stops the system from shutting down and returns you to the Utilities screen.",,,
GOPXR646136,STANDARD_LOGIN,Login,Interface,OPTIMA XR646,How to login the system?,"1. Start up the system or log off the previous user.
 The Login screen appears.
2. Enter your Login Name.
3. Enter your Password.
4. Click [LOGIN].",,,
GOPXR646137,LOG_OFF,Log off,Interface,OPTIMA XR646,How to log off?,"1. Close, suspend, or discontinue any open exams, if necessary.
2. Close the Image Viewer, if necessary.
3. Click [LOGOFF] at the top of the Worklist or Image Management screen.
 Or open the Utility screen, go to System and click [LOGOFF]
 A message appears: “Do you really want to log off?”
4. Click [OK].
 The Login screen appears.
 [CANCEL] closes the screen and returns you to the last screen.",,,
GOPXR646138,EMERGENCY_STOP_BUTTON,Stop,Interface,OPTIMA XR646,How to stop the system in Emergency condition?,"1. In an emergency situation, press the Emergency Stop button in with force.
2. Resolve the emergency situation.
3. When normal conditions are confirmed, turn (RCIM) or pull (table) the e-stop button to reset.
 The system will power up automatically.",,,
GOPXR646139,POSITION_THE_TABLE,Position,Hardware,OPTIMA XR646,How to Position the Table Longitudinally and Transversely?,"1. Release the table lock, if necessary.
2. Press the table top positioning foot pedal two consecutive times (“double-tap”). This activates the foot 
pedal.
3. Hold the foot pedal down and position the table top.
 You can float the table top in all directions while the pedal remains held down.
4. Manually move the tabletop in a longitudinal or transverse direction to the desired position.
5. Release the foot pedal to lock the tabletop.",,,
GOPXR646140,ADJUST_OTS,Adjust,Hardware,OPTIMA XR646,How to Adjust the Overhead Tube Suspension (OTS) Position?,"1. Use the Longitudinal Lock Release button to move the OTS along the bridge of the overhead rail system.
a) Press and hold the Longitudinal Lock Release button on the User Interface.
b) Move the OTS to the desired position.
c) Release the Longitudinal Lock Release button.
2. Use the Vertical Lock Release button to move the telescopic column up and down.
a) Press and hold the Vertical Lock Release button on the User Interface.
b) Move the telescopic to the desired vertical position.
c) Release the Vertical Lock Release button.
3. Use the Lateral Lock Release button to move the OTS carriage from side to side on the bridge.
a) Press and hold the Lateral Lock Release button on the User Interface.
b) Move the OTS carriage to the desired position.
c) Release the Lateral Lock Release button.
4. Use the All-Lock, Lock Release button to simultaneously move the OTS in vertical, lateral and longitudinal directions. If detents are on and the OTS is in lateral detent the system will maintain the lateral 
position but move freely in vertical an longitudinal.
a) Press and hold the All-Lock, Lock Release button on the User Interface.
b) Move the OTS to the desired position.
c) Release the All-Lock, Lock Release button.",,,
GOPXR646141,ADJUST_THE_TUBE_POSITION,Adjust,Hardware,OPTIMA XR646,How to Adjust the Tube Position?,"1. Use the Tube Angulation Lock Release button to rotate the tube about the short axis (cranial to caudal).
a) Press and hold the Tube Angulation Lock Release button on the User Interface.
b) Move the tube unit to the desired angle.
c) Release the Tube Angulation Lock Release button.
2. Use the OTS Rotation Detent Release lever to rotate the tube about the vertical axis of the telescopic 
column.
a) Press the Rotation Detent Release lever on the right side of the OTS.
b) Rotate the tube unit.
c) Release the lever. The OTS locks in the next 30 degree position.",,,
GOPXR646142,ROTATE_THE_COLLIMATOR,Rotate,Hardware,OPTIMA XR646,How to Rotate the Multi-Leaf Collimator?,"1. Move the locking lever on the multi-leaf collimator toward the front panel, i.e. toward you. This 
releases the collimator from the 0 lock-in position.
2. Grasp the multi-leaf collimator with both hands.
3. Rotate it to the desired angle and direction.
4. Return the locking lever to its original position. This prevents further rotation.",,,
GOPXR646143,ADD_PATIENT,Add,Interface,OPTIMA XR646,How to Add Patient?,"1. On the Worklist screen click [ADD PATIENT].
2. Enter the patient information.
3. Click [SAVE] or [START EXAM].",,,
GOPXR646144,EDIT_PATIENT_INFORMATION,Edit,Interface,OPTIMA XR646,How to Edit Patient Information?,"1. Select the procedure from the Worklist.
2. Click [PATIENT INFORMATION].
3. Edit the information as necessary.
4. Click [SAVE] to record the changes and return to the Worklist.",,,
GOPXR646145,GRID_LOADING_AND_REMOVAL,Removal,Assemble,OPTIMA XR646,How to Grid Loading and Removal?,"1. Pull out the grid tray. 
2. Install the grid with the “tube side” label facing up. . 
3. Push in the grid tray.
",,,
GOPXR646146,SEARCH,Feature,Interface,OPTIMA XR646,How to search the features?,"1. Click the button on the Search By drop-down list to select the column you want to search.
 If the column you want is already selected, begin at step 3.
2. Select the column. For example, Patient Name.
 The list is sorted by the selected column in alphabetical or numerical order.
3. Type the search criteria into the text box.",,,
GOPXR646147,SORT_BY_COLUMN,"Sort,column",Interface,OPTIMA XR646,How to Sort by column?,"1. Click the column heading you want to sort, or choose the column in the Search By drop-down list. For 
example, if you want to see all the procedures that have a status of “Suspended”, click the “Status” 
column heading.
 An arrow appears in the column heading to indicate which column is currently being sorted.
2. Click the column heading again to switch between ascending and descending order.
 An up-pointing arrow indicates that the column is sorted in ascending order. That is, sorted in 
alphabetical order or numerical order from smallest to largest.
 A down-pointing arrow indicates that the column is sorted in descending order. That is, sorted in 
reverse alphabetical order or numerical order from largest to smallest.",,,
GOPXR646148,FILTER_LIST,Filter,Interface,OPTIMA XR646,How to  filter the Worklist?,"1. Click [FILTER LIST] on the Worklist screen.
 The Filter Screen appears
2. Select the Show list for option.
3. Select the Include options.
4. Select the Date option.
5. If you selected Range for the Date option, enter or select the From and To dates.",,,
GOPXR646149,SELECT_A_SINGLE_PROCEDURE,Select,Interface,OPTIMA XR646,How to Select a Single Procedure?,"1. Close or suspend any open exams The Worklist screen appears.
2. Select the procedure from the Worklist.",,,
GOPXR646150,SELECT_MULTIPLE_PROCEDURES,Select,Interface,OPTIMA XR646,How to Select Multiple Procedures?,"1. Sort the Worklist by Patient Name, if necessary.
2. Click on all the procedures that are to be selected. 
3. Click on [START EXAM]
4. Select matching protocol from list in drop down menu.
5. Continue to select protocols to match the protocol in the drop down list.
6. Click on [ACCEPT] when all exams have had a protocol assigned.",,,
GOPXR646151,DELETE_A_SINGLE_PROCEDURES,Delete,Interface,OPTIMA XR646,How to Delete a Single Procedure?,"1. Select the procedure to delete.
2. Click [DELETE]. If necessary, switch the button to [DELETE].
 A message appears: “Are you sure that you would like to delete the selected items?”
3. Click [OK] to delete the procedures.
 [CANCEL] retains the procedures and the Worklist appears.",,,
GOPXR646152,DELETE_SUSPENDED_PROCEDURES,Delete,Interface,OPTIMA XR646,How to Delete Suspended Procedures?,"1. Select the suspended procedure to delete.
 A message appears: “The patient entry you are trying to delete is still in progress. Would you like to 
mark the patient as ‘Completed’ / ‘Discontinued’ and proceed with deletion?”
2. Click [COMPLETE] or [DISCONTINUE].
 [COMPLETE] changes the Status to of the procedures to “Completed.” If enabled, any acquired 
images are auto pushed, auto printed, and sent to PACS.
 [DISCONTINUE] changes the Status to “Discontinued.” Any acquired images are marked as Discontinued and the information is sent to PACS.
 [CANCEL] closes the message and returns you to the Worklist without deleting procedures.
 The procedures are removed from the Worklist.",,,
GOPXR646153,CONDUCT_A_WALL_STAND_EXAM,Exam,Exam,OPTIMA XR646,How to Conduct a Wallstand Exam?,"1. Select the Exam and View to perform from the protocol list.
2. Select the Patient Size. The system default is Medium Adult.
3. Select the wallstand Receptor, if necessary.
4. Select [AEC] or [FIXED] mode (if applicable for the protocol).
5. Confirm or adjust the Grid and SID status.
 An alert icon appears if the current Grid or SID is not in the recommended status for the technique.
 A checkmark appears if the current Grid or SID is in the recommended status for the technique.
 Figure 10-13 shows the Grid not in the recommended status and the SID in the recommended status.
6. Make technique adjustments as necessary: kV, mA, Focal Spot, Cu Filter, and Ion Chambers (AEC 
mode only).
7. Position the patient in front of the wallstand.
8. Confirm or adjust the Patient Side field, if applicable.
9. Confirm or adjust the Patient Position field.
10. Confirm or adjust the Asymmetric Collimation, if applicable.
11. Collimate and shield as appropriate for the exam.",,,
GOPXR646154,CONDUCT_A_TABLE_TOP_EXAM,Exam,Exam,OPTIMA XR646,How to Conduct a Table Top Exam?,"1. If multiple procedures were selected from the Worklist, select the procedure from the exam drop￾down list.
2. Select the Exam and View to perform from the protocol list.
3. Select the Patient Size. The system default is Medium Adult.
4. Select the Detector Icon [Table Top Mode].
5. Make other technique adjustments as necessary.
6. Position the detector under the patient.
7. Confirm or adjust the Patient Side, if applicable.
8. Collimate and shield as appropriate for the exam.
9. Have the patient suspend respiration, if required.
10. Make exposure using the hand switch.
",,,
GOPXR646155,CONDUCT_A_CASSETTE_EXAM,Exam,Exam,OPTIMA XR646,How to Conduct a Cassette Exam?,"1. Click [CASSETTE EXAM] from the bottom of the Worklist screen.
2. Select the protocols to perform.
3. Click [ACCEPT].
4. Select the Exam and View to perform from the protocol list.
5. Make technique adjustments as necessary for the appropriate body part being imaged: kV and mAs
6. Change the Cu Filter selection, if necessary.
7. Position the patient with the cassette as appropriate for the exam.
8. Collimate and shield as appropriate for the exam.
9. Have the patient suspend respiration, if required.
10. Make exposure using the hand-switch.
11. Click [CLOSE] to end the exam.
12. Process the cassette as necessary, depending on the media.",,,
GOPXR646156,CONDUCT_A_EMERGENCY_EXAM,"Emergency,Exam",Exam,OPTIMA XR646,How to Conduct an Emergency Exam?,"1. Click [EMERGENCY EXAM] from the bottom left of the Worklist.
2. Select the protocols for the exam.
3. Click [ACCEPT].
 The Acquisition screen appears.
4. Select the protocol to perform from the Protocol List.
5. Acquire images.",,,
GOPXR646157,ACQUIRE_AEC_IMAGES,Images,Exam,OPTIMA XR646,How to Acquire AEC Images?,"
1. Open an exam from the Worklist and select the protocols.
 The Acquisition screen appears.
2. Select the protocol to perform.
3. Change the Patient Size, if necessary.
4. Change the Receptor, if necessary.
5. Click [AEC], if necessary.
 Depending on the current protocol, AEC may already be selected by default.
 The AEC mode displays the Ion Chamber selections.
 The Fixed mode removes the Ion Chamber selections.
 You are able to alter this selection at any time to accommodate the requirements of a specific 
examination.
6. Change the selected Ion Chambers, if necessary.
 Selected (active) AEC cells will appear highlighted on the acquisition screen.
7. Make other technique adjustments as necessary.
 You are able to adjust the kV, mA, and Focal Spot.
8. Confirm or select the Cu Filter, if necessary.
9. Position the patient so that the anatomy of interest is centered over the selected AEC cells.
Note: The body part must cover the selected ion chambers in order to achieve the appropriate expo￾sure.
10. Collimate the light field to encompass the detection area being used.
11. Collimate to the desired area. This ensures the receptor sensing area is aligned with the patient’s 
anatomy.
12. Confirm the Patient Position. Change if necessary.
13. Make the exposure.
14. If the AEC Back-up Reached message appears: Click [OK].
 The message closes.
15. Observe technique settings and continue exam.",,,
GOPXR646158,CUSTOMIZE_SYSTEM_ANNOTATIONS,Customize,Customize,OPTIMA XR646,How to Customize System Annotations?,"1. Select the Image Tools panel – Annotation tab if necessary.
2. Click [CUSTOM].
3. Select (check) the annotations you want to appear.
4. Adjust the Font Size, if necessary.
5. Click [OK].
 [CANCEL] closes the screen and leaves the selections unchanged.",,,
GOPXR646159,ADD_IMAGE_ANNOTATIONS,Image,Customize,OPTIMA XR646,How to Add Image Annotations?,"1. Select the image to annotate, if necessary.
2. Click the button of the annotation to insert.
Note: Selected image annotations are yellow with red handles. Unselected image annotations are aqua 
without handles.
3. Move, re-size, or change the angle of the annotation as described ",,,
GOPXR646160,DELETE_IMAGE_ANNOTATIONS,Image,Customize,OPTIMA XR646,How to Delete Image Annotations?,"1. Select the annotation.
2. Click [ERASE] or [ERASE ALL].
 If [ERASE ALL] was clicked, a message appears: “Would you like to remove all annotations from the 
selected image?”
3. Click [YES].
 All annotations are removed.",,,
GACTS161,RESET_THE_EMERGENCY_OFF_BUTTON,"Emergency,Care,Disconnect",Safety,REVOLUTION ACTS,How to Reset Emergency OFF button?,"1. Press the Start button on the Main Disconnect Control.
 Powerto the Power Distribution Unit (PDU), operator console, and system electronics will be
restored.
2. Stab the E-Reset hole on the Control Panel or SCBSV.
 Power to the gantry drives, X-ray system, and table drive will be restored.",,,ES7
GACTS162,EMERGENCY_PATIENT_CARE_DURING_X-RAY_ON,"Emergency,Care,",Safety,REVOLUTION ACTS,How to Care patient when x-ray is ON?," Press STOP SCAN to abort X-ray and stop gantry/table movement.
 Duringanexam,thesystempausesbetweenscans if youPressanybuttononthecontrol panelother
than the alignment lights. It stops X-ray if you press the same buttons during a scan.
 Select Resume on the screen to continue the exam.",,,ES7
GACTS163,EMERGENCY_EGRESS,"Emergency,Care",Safety,REVOLUTION ACTS,What will be do when the System operation maybe stopped due to powerfailure?,Use Cradle Unlatch button.,,,ES7
GACTS164,TO_SAFELY_REMOVE_THE_PATIENT,"Emergency,Care",Safety,REVOLUTION ACTS,How do we safely remove the patient?,"1. Press the Cradle Release gantry key or the Emergency Stop button (1) to disengage the clutch.
2. Pull the cradle to its out position, using the Cradle Lip or Cradle Handle (2).
3. Assist the patient off the table.",,,ES7
GACTS165,SETTING_DOSE_ADMINISTRATOR_ROLE,"Dose,Alert values",Dose Check,REVOLUTION ACTS,How to set Dose Administrator Role?,"1. ClickDoseCheck Managementfrom Protocol Management.
2. Click User Admin Tool.
3. From the EA3 Administration screen, type your Username and Password.
 Consult your service engineer or Application Representative for user name and password.
4. From the Local Users tab, click Add Local User.
5. From the pop-up panel, type information for each of the following:
 A unique userID
 FullName
 Password
 ConfirmPassword
6. Click Add User.
7. From the Groups tab, click Add Local Group.
8. From the Add Local Group window, type and enter a unique group name
9. Click AddGroup
 The group is highlighted in the Local Groups list box.
 All information and buttons in the center panel referto the highlighted group.
10. To change a group's roles, select the Dose Admin Role option box and click Apply Roles.
a. A green label confirms the applied roles.
b. An error message box displays if it is unsuccessful.",https://drive.google.com/file/d/1zdcWJjNz4L471S1NTej2I_xcxSNqFKLl/view?usp=sharing,,RS8
GACTS166,SETTING_AV_EXCEEDING_USER_ROLE,"Dose,Alert values,AV",Dose Check,REVOLUTION ACTS,How to set AV Exceeding User Role?,"1. ClickDoseCheck Managementfrom Protocol Management.
2. Click User Admin Tool.
3. From the EA3 Administration screen, type your Username and Password.
4. From the Local Users tab, click Add Local User.
5. From the pop-up panel, type information for each of the following:
 A unique userID
 FullName
 Password
 ConfirmPassword
6. Click Add User.
7. From the Groups tab, click Add Local Group.
8. From the Add Local Group window, type and enter a unique group name.
9. Click Add Group.  The group is highlighted in the Local Groups list box.
 All information and buttons in the center panel referto the highlighted group.
10. To change agroup's roles, selecttheDoseCheck AV ExceedingUser option box and click ApplyRoles.  A green label confirms the applied roles.
 An error message box displays if it is unsuccessful.",https://drive.google.com/file/d/1fbtu6QSgw_uH_xFViMX_F2F2Gu-atPKr/view?usp=sharing,,RS8
GACTS167,CONFIGURE_THE_SYSTEM_FOR_DOSE_CHECKING,"Dose,Alert values,AV,NV",Dose Check,REVOLUTION ACTS,How do we check the system for Dose checking?,"1. ClickDoseCheck Managementfrom Protocol Management.
2. Set Checking for Notification Value (NV).
a. In theNV Checking section Click CTDIvol and/orDLP.
b. Type a value for CTDIvol and/or DLP.  The range for NV is 0 to ≤ to the value set for AV.
 Or, the letter N can be entered to indicate that no checking will be done.
The system default is NV checking CTDIvol ""On"" andDLP ""Off"". GE reference protocols will not
contain anyNV values.
3. Set checking for Alert Value (AV).
a. In the AV Checking section Click CTDIvol and/orDLP.
b. Type a value for CTDIvol and/or DLP.  The maximum AV value for CTDIvol is 2000 mGy.
 The maximum AV value for DLP is 400,000 mGy-cm.
 ThesystemdefaultisAVcheckingbyCTDIvol""On""withavalueof1000mGy.DLPchecking""Off""
with a value of 0 mGy-cm.
Alert Value should be determined by a collaboration between the Radiologist and Physicist at the site.
4. Click Save.",https://drive.google.com/file/d/16mCgT_zI3VwJBElE7N1pp_8G6Ld6nm35/view?usp=sharing,,RS8
GACTS168,CONFIGURE_THE_SYSTEM_FOR_ALERT_VALUE_BY_AGE_THERSHOLD,"Dose,Alert values,AV,NV,Age",Dose Check,REVOLUTION ACTS,What are the  procedure to configure the system for Dose Checking by Alert Value(AV) Checking byAgeThreshold?,"1. Click Dose Check Management from Protocol Management.
2. In the AV (Alert Value) Checking section, click Add Age Threshold.
3. Type the desired Patient Age.
4. Type a value for CTDIvol and/or DLP.
 The maximum AV value for CTDIvol is 2000 mGy.
 The maximum AV value for DLP is 400,000 mGy-cm.
 ThesystemdefaultisAV checkingbyCTDIvolOnwithavalueof1000 mGy.DLPcheckingOff,0 mGy
 The value must be lower than the Adult AV value.
5. Click save.",https://drive.google.com/file/d/1l0zh2AKya0_xOdJKpoEMrFsGDrM21Xml/view?usp=sharing,,RS8
GACTS169,CONFIGURE_THE_SYSTEM_FOR_PROTOCOL_CHANGE_CONTROL,"Dose,Alert values,AV,NV,Protocol",Dose Check,REVOLUTION ACTS,What are the procedure to configure the system for Protocol Change Control (PCC)?,"1. Click Dose Check Management from Protocol Management.
2. In the Protocol Change Control section Click Off to enable PCC.
3. Click save.",https://drive.google.com/file/d/1e3kOSqwCjOELrYR60ea7RHCdnAjzDyHM/view?usp=sharing,,RS8
GACTS170,BUILDING_PROTOCOLS_USING_PROTOCOL_CHANGE_CONTROL,"Dose,Alert values,AV,NV,Protocol",Dose Check,REVOLUTION ACTS,What are the procedure to build protocols with Protocol Change Control (PCC)?,"1. ClickDoseCheck Managementfrom Protocol Management.
2. Click Logon Name.
3. Type the user name.
4. Click Password.
5. Type the User password.
6. Click Logon.",https://drive.google.com/file/d/1QV278wXB8wsSEA4OWzQs8M0_yW4XjWOw/view?usp=sharing,,RS8
GACTS171,BUILDING_PROTOCOLS_WITH_NOTIFICATION_VALUES,"Dose,,AV,NV,Protocol",Dose Check,REVOLUTION ACTS,What are the procedure to set Notification Values (NV) in User protocols?,"1. From the scan monitor, click the Protocol Managementicon.
2. On the Auto Voice and Protocol Management screen, click Protocol Management.
3. On the Protocol Selection screen, click User.
4. On the User tab click an Anatomical area.
5. In the Anatomical Area click on a protocol.
6. Click Next Series to go to the first non-scout series in the protocol.
7. From the Dose Information area click Set Up.
8. Type the desired CTDIvol or DLP NV value by group.
 Only one CTDIvol or DLP value can be set for SmartPrep scan groups.
9. Click Info to return to the Dose Information display.
10. Click Accept to save the protocol parameters.
 The system compares all the CTDIvol and DLP values in the scan groups to the entered NV value.
 The protocol parameters will not be accepted until the NV value is no longer exceeded or the user
has entered a Diagnostic Reason for continuing to accept the scan parameters exceeding the NV
Value.
 Saving a protocol with a dose level exceeding an NV value demands a high degree of
consideration for appropriateness. Therefore, in most cases, you will click Cancel to go back to
adjust parameters. However, if there is a true clinical reason to save a protocol exceeding an NV
value, then enter a diagnostic reason.
11. Click in theDiagnostic Reason text field.
12. Type the reason for scanning exceeding the NV value.
 The maximum number of characters is 64.
 Once the maximum number of characters is reached the system will not accept any additional
character input.
13. Click Confirm to accept the protocol scan parameters.",https://drive.google.com/file/d/1fEVH502cV6rDMOIKx_Idrn6JkVhvw-gA/view?usp=sharing,,RS8
GACTS172,BUILDING_PROTOCOLS_WITH_NOTIFICATION_VALUES_BY_FACTOR,"Dose,,AV,NV,Protocol,Factor",Dose Check,REVOLUTION ACTS,What are the procedure to set Notification Values (NV) in User protocols for all scan groups by a factor?,"1. From the scan monitor, click the Protocol Managementicon.
2. On the Auto Voice and Protocol Management screen, click Protocol Management.
3. On the Protocol Selection screen, click User.
4. On the User tab click an Anatomical area.
5. In the Anatomical Area click on a protocol.
6. Click Next Series to go to the first non-scout series in the protocol.
7. From the Dose Information area click Set Up.
8. Click NV column edit.
9. Type the desired factor.
10. ClickAccept.
11. Click Info to return to the Dose Information display.",https://drive.google.com/file/d/179FvWQIxSNaKdM3k3WiRgPuaspnBlfem/view?usp=sharing,,RS8
GACTS173,SCAN_USING_ALERT_VALUE_CHECKING,"Dose,,AV,NV,Protocol,Checking",Dose Check,REVOLUTION ACTS,What are the  procedure to scan using AV checking?,"1. Click in the Logon Name text field.
2. Type the UserName.
3. Click in the Password text field.
4. Type the user password.
5. Click in the Diagnostic Reason text field.
6. Type the reason for scanning exceeding the AV value.
 The maximum number of characters is 64.
 Once the maximum number of characters is reached the system will not accept any additional
characterinput.
7. Click Confirm to proceed to scanning.",https://drive.google.com/file/d/1ehBPKyw-VRMdS3ptI7wmJ9ksGaYSTXHh/view?usp=sharing,,RS8
GACTS174,SCAN_USING_NOTIFICATION_VALUE_CHECKING,"Dose,,AV,NV,Protocol,Checking",Dose Check,REVOLUTION ACTS,What are the procedure to scan using NV checking?,"1. Click in the Diagnostic Reason text field.
2. Type the reason for scanning exceeding the NV value.
 The maximum number of characters is 64.
 Once the maximum number of characters is reached the system will not accept any additional
characterinput.
3. Click Confirm to proceed to scanning.",https://drive.google.com/file/d/1UGVpXfazVFsUeNgEigxyMQu72rHoBfJk/view?usp=sharing,,RS8
